farm_id,region,asset_type,soil_moisture,temperature,yield_prediction,credit_score
FARM1,West Africa,Cassava,32.1,28.7,1671,84
FARM2,East Africa,Cassava,30.8,27.5,1551,78
FARM3,West Africa,Maize,28.5,30.2,1647,82
FARM4,Central Africa,Cassava,33.2,29.1,1551,78
FARM5,East Africa,Maize,29.9,31.0,1614,81
FARM6,Southern Africa,Cassava,34.1,30.6,1563,78
FARM7,West Africa,Sorghum,27.5,32.1,1584,79
FARM8,East Africa,Cassava,31.2,29.8,1563,78
FARM9,Central Africa,Sorghum,30.0,31.5,1552,78
FARM10,Southern Africa,Cassava,33.8,28.9,1523,76
